visitor_id,nb_sessions,avg_days_between_sessions,nb_unique_documents,engagement_score,return_rate,visitor_type,browser_clean,os_clean,source_clean,medium_clean,cluster
"1,69652E+18",30,6181818181818182,22,544,6179775280898876,Récurrent,Firefox,macOS,Referral,Direct,Cluster 2
"1,69738E+18",1,0,1,333,10,Nouveau,Safari,macOS,Referral,Direct,Cluster 0
"1,69739E+18",7,13928571428571428,10,395,417910447761194,Mixte,Chrome,macOS,Referral,Direct,Cluster 4
"1,69741E+18",1,0,1,333,10,Nouveau,Chrome,macOS,Referral,Direct,Cluster 0
"1,69743E+18",1,0,1,333,10,Nouveau,Safari,macOS,Referral,Direct,Cluster 0
"1,69744E+18",3,0,5,365,10,Mixte,Chrome,Windows,Social,Referral,Cluster 1
"1,69744E+18",3,0,5,365,10,Mixte,Chrome,Windows,Social,Referral,Cluster 1
"1,69744E+18",3,0,5,365,10,Mixte,Chrome,Windows,Referral,Direct,Cluster 1
"1,69744E+18",3,0,5,365,10,Mixte,Chrome,Windows,Referral,Direct,Cluster 1
"1,69745E+18",1,0,1,333,10,Nouveau,Chrome,Windows,Referral,Direct,Cluster 0
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Referral,Direct,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Referral,Direct,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Referral,Direct,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Social,Referral,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Social,Referral,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Social,Referral,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Search,Referral,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Search,Referral,Cluster 1
"1,69746E+18",20,2886363636363636,8,401,2573099415204679,Mixte,Chrome,Android,Search,Referral,Cluster 1
"1,69747E+18",1,0,1,333,10,Nouveau,Safari,macOS,Referral,Direct,Cluster 0
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69748E+18",121,14694656488549618,24,792,4049459041731066,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,6974E+18",26,4638888888888889,8,399,1773399014778325,Mixte,Firefox,Windows,Referral,Direct,Cluster 1
"1,6974E+18",26,4638888888888889,8,399,1773399014778325,Mixte,Firefox,Windows,Referral,Direct,Cluster 1
"1,6974E+18",26,4638888888888889,8,399,1773399014778325,Mixte,Firefox,Windows,Referral,Referral,Cluster 1
"1,6974E+18",26,4638888888888889,8,399,1773399014778325,Mixte,Firefox,Windows,Referral,Referral,Cluster 1
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Direct,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Search,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Social,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69752E+18",126,6386138613861386,51,993,6102719033232628,Mixte,Chrome,Windows,Referral,Referral,Cluster 3
"1,69753E+18",18,15782608695652174,5,243,595854922279792,Mixte,Chrome,Windows,Referral,Direct,Cluster 4
